11000,稚内
12010,旭川
12020,留萌
16010,札幌
16020,岩見沢
16030,倶知安
13010,網走
13020,北見
13030,紋別
14010,根室
14020,釧路
14030,帯広
15010,室蘭
15020,浦河
17010,函館
17020,江差
20010,青森
20020,むつ
20030,八戸
30010,盛岡
30020,宮古
30030,大船渡
40010,仙台
40020,白石
50010,秋田
50020,横手
60010,山形
60020,米沢
60030,酒田
60040,新庄
70010,福島
70020,小名浜
70030,若松
130010,東京
130020,大島
130030,八丈島
130040,父島
140010,横浜
140020,小田原
110010,さいたま
110020,熊谷
110030,秩父
120010,千葉
120020,銚子
120030,館山
80010,水戸
80020,土浦
90010,宇都宮
90020,大田原
100010,前橋
100020,みなかみ
190010,甲府
190020,河口湖
150010,新潟
150020,長岡
150030,高田
150040,相川
200010,長野
200020,松本
200030,飯田
160010,富山
160020,伏木
170010,金沢
170020,輪島
180010,福井
180020,敦賀
230010,名古屋
230020,豊橋
210010,岐阜
210020,高山
220010,静岡
220020,網代
220030,三島
220040,浜松
240010,津
240020,尾鷲
270000,大阪
280010,神戸
280020,豊岡
260010,京都
260020,舞鶴
250010,大津
250020,彦根
290010,奈良
290020,風屋
300010,和歌山
300020,潮岬
310010,鳥取
310020,米子
320010,松江
320020,浜田
320030,西郷
330010,岡山
330020,津山
340010,広島
340020,庄原
350010,下関
350020,山口
350030,柳井
350040,萩
360010,徳島
360020,日和佐
370000,高松
380010,松山
380020,新居浜
380030,宇和島
390010,高知
390020,室戸岬
390030,清水
400010,福岡
400020,八幡
400030,飯塚
400040,久留米
440010,大分
440020,中津
440030,日田
440040,佐伯
420010,長崎
420020,佐世保
420030,厳原
420040,福江
410010,佐賀
410020,伊万里
430010,熊本
430020,阿蘇乙姫
430030,牛深
430040,人吉
450010,宮崎
450020,延岡
450030,都城
450040,高千穂
460010,鹿児島
460020,鹿屋
460030,種子島
460040,名瀬
471010,那覇
471020,名護
471030,久米島
472000,南大東
473000,宮古島
474010,石垣島
474020,与那国島
